
  _id  |      _uuid      |         _timestamp         |  rpc   |       _ack_timestamp       | _ack_status
-------+-----------------+----------------------------+--------+----------------------------+-------------
 38103 | 359404230124464 | 2025-11-11 20:16:26.496259 | unlock | 2025-11-11 20:16:26.629688 |           0
 38102 | 359404230124464 | 2025-11-11 20:16:18.751021 | unlock | 2025-11-11 20:16:18.948793 |           0
 38101 | 359404230124464 | 2025-11-11 20:16:10.853962 | unlock | 2025-11-11 20:16:11.029484 |           0
 38100 | 359404230124464 | 2025-11-11 20:16:02.952613 | unlock | 2025-11-11 20:16:03.109685 |           0
 38099 | 359404230124464 | 2025-11-11 20:15:55.081281 | unlock | 2025-11-11 20:15:55.267968 |           0
 38098 | 359404230124464 | 2025-11-11 20:15:46.879521 | unlock | 2025-11-11 20:15:47.027755 |           0
 38097 | 359404230124464 | 2025-11-11 20:15:38.944276 | unlock | 2025-11-11 20:15:39.109427 |           0
 38096 | 359404230124464 | 2025-11-11 20:15:30.984715 | unlock | 2025-11-11 20:15:31.1082   |           0
 38095 | 359404230124464 | 2025-11-11 20:15:23.01518  | unlock | 2025-11-11 20:15:23.18917  |           0
 38094 | 359404230124464 | 2025-11-11 20:15:15.096242 | unlock | 2025-11-11 20:15:15.268769 |           0
 38093 | 359404230124464 | 2025-11-11 20:15:06.712676 | unlock | 2025-11-11 20:15:06.869499 |           0
 38092 | 359404230124464 | 2025-11-11 20:14:58.52334  | unlock | 2025-11-11 20:14:58.708479 |           0
 38091 | 359404230124464 | 2025-11-11 20:14:50.51291  | unlock | 2025-11-11 20:14:50.628535 |           0
 38090 | 359404230124464 | 2025-11-11 20:14:42.619159 | unlock | 2025-11-11 20:14:42.788694 |           0
 38089 | 359404230124464 | 2025-11-11 20:14:33.845023 | unlock | 2025-11-11 20:14:33.99178  |           0
 38088 | 359404230124464 | 2025-11-11 20:14:25.919417 | unlock | 2025-11-11 20:14:26.070259 |           0
 38087 | 359404230124464 | 2025-11-11 20:14:17.9356   | unlock | 2025-11-11 20:14:18.149026 |           0
 38086 | 359404230124464 | 2025-11-11 20:14:09.982504 | unlock | 2025-11-11 20:14:10.1501   |           0
 38085 | 359404230124464 | 2025-11-11 20:14:01.786825 | unlock | 2025-11-11 20:14:01.989026 |           0
 38084 | 359404230124464 | 2025-11-11 20:13:53.775752 | unlock | 2025-11-11 20:13:53.993101 |           0
 38083 | 359404230124464 | 2025-11-11 20:13:45.812769 | unlock | 2025-11-11 20:13:45.989349 |           0
 38082 | 359404230124464 | 2025-11-11 20:13:37.824066 | unlock | 2025-11-11 20:13:37.98963  |           0
 38081 | 359404230124464 | 2025-11-11 20:13:29.809048 | unlock | 2025-11-11 20:13:29.98845  |           0
 38080 | 359404230124464 | 2025-11-11 20:13:21.720857 | unlock | 2025-11-11 20:13:21.910274 |           0
 38079 | 359404230124464 | 2025-11-11 20:13:13.492516 | unlock | 2025-11-11 20:13:13.669788 |           0
 38078 | 359404230124464 | 2025-11-11 20:13:05.178607 | unlock | 2025-11-11 20:13:05.349789 |           0
 38077 | 359404230124464 | 2025-11-11 20:12:57.208538 | unlock | 2025-11-11 20:12:57.349592 |           0
 38076 | 359404230124464 | 2025-11-11 20:12:49.155058 | unlock | 2025-11-11 20:12:49.350427 |           0
 38075 | 359404230124464 | 2025-11-11 20:12:41.124015 | unlock | 2025-11-11 20:12:41.270051 |           0
 38074 | 359404230124464 | 2025-11-11 20:12:33.163324 | unlock | 2025-11-11 20:12:33.349507 |           0
